participant_id,cohort_id,first_name,last_name,phone,email,date_of_birth,enrollment_date,status,withdrawal_date,withdrawal_reason,created_at
1,1,Maria,Chen,+15201110001,maria.chen@email.com,1994-06-15,2026-04-07,active,,,2026-04-26T08:22:07.850777+00:00
2,1,James,Nguyen,+15201110002,james.nguyen@email.com,1990-03-22,2026-04-07,active,,,2026-04-26T08:22:07.850777+00:00
3,1,Amara,Osei,+15201110003,amara.osei@email.com,1997-11-08,2026-04-07,active,,,2026-04-26T08:22:07.850777+00:00
4,1,Sofia,Reyes,+15201110004,sofia.reyes@email.com,1992-09-30,2026-04-07,active,,,2026-04-26T08:22:07.850777+00:00
5,1,Derek,Johnson,+15201110005,derek.johnson@email.com,1986-04-17,2026-04-07,active,,,2026-04-26T08:22:07.850777+00:00
6,1,Linda,Yazzie,+15201110006,linda.yazzie@email.com,1993-01-25,2026-04-07,active,,,2026-04-26T08:22:07.850777+00:00
7,1,Carlos,Mendez,+15201110007,carlos.mendez@email.com,1988-07-04,2026-04-07,active,,,2026-04-26T08:22:07.850777+00:00
8,1,Tanya,Williams,+15201110008,tanya.williams@email.com,1991-12-19,2026-04-07,active,,,2026-04-26T08:22:07.850777+00:00
9,1,Marcus,Hill,+15201110009,marcus.hill@email.com,1985-08-11,2026-04-07,dropped,2026-05-14,Stopped attending and responding after week 5,2026-04-26T08:22:07.850777+00:00
10,1,Rosa,Flores,+15201110010,rosa.flores@email.com,1996-02-28,2026-04-07,dropped,2026-04-30,Childcare and transportation barriers unresolved,2026-04-26T08:22:07.850777+00:00
